# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	
20.000000	4.2100250e-44	1.6790300e-43
20.125000	3.9148250e-44	1.5592150e-43
20.250000	3.6426250e-44	1.4483920e-43
20.375000	3.3911000e-44	1.3461920e-43
20.500000	3.1580500e-44	1.2518600e-43
20.625000	2.9421750e-44	1.1646400e-43
20.750000	2.7419750e-44	1.0842600e-43
20.875000	2.5572000e-44	1.0099830e-43
21.000000	2.3854750e-44	9.4128750e-44
21.125000	2.2264420e-44	8.7757500e-44
21.250000	2.0787250e-44	8.1905000e-44
21.375000	1.9417070e-44	7.6477250e-44
21.500000	1.8152420e-44	7.1477250e-44
21.625000	1.6977600e-44	6.6846000e-44
21.750000	1.5882500e-44	6.2556500e-44
21.875000	1.4866780e-44	5.8608500e-44
22.000000	1.3924800e-44	5.4940750e-44
22.125000	1.3047720e-44	5.1537000e-44
22.250000	1.2233970e-44	4.8393750e-44
22.375000	1.1477700e-44	4.5493250e-44
22.500000	1.0770530e-44	4.2819000e-44
22.625000	1.0114200e-44	4.0371750e-44
22.750000	9.5045750e-45	3.8169500e-44
22.875000	8.9383750e-45	3.6259500e-44
23.000000	8.4136500e-45	3.4739250e-44
23.125000	7.9258750e-45	3.3768000e-44
23.250000	7.4695000e-45	3.3633750e-44
23.375000	7.0449750e-45	3.5140250e-44
23.500000	6.6503000e-45	4.0732000e-44
23.625000	6.2827250e-45	5.4809000e-44
23.750000	5.9403750e-45	1.1085000e-43
23.875000	5.6199250e-45	6.5557500e-43
24.000000	5.3205250e-45	2.0155820e-42
24.125000	5.0410500e-45	1.5424180e-43
24.250000	4.7791250e-45	5.8145250e-44
24.375000	4.5340250e-45	3.5712500e-44
24.500000	4.3051750e-45	2.6014250e-44
24.625000	4.0902500e-45	2.1157250e-44
24.750000	3.8890500e-45	1.8565350e-44
24.875000	3.7000750e-45	1.6857400e-44
25.000000	3.5233750e-45	1.5608430e-44
25.125000	3.3573250e-45	1.4647420e-44
25.250000	3.2015500e-45	1.3869280e-44
25.375000	3.0552000e-45	1.3199300e-44
25.500000	2.9179250e-45	1.2609900e-44
25.625000	2.7883750e-45	1.2072470e-44
25.750000	2.6722500e-45	1.1580350e-44
25.875000	2.5597000e-45	1.1098420e-44
26.000000	2.4548120e-45	1.0682080e-44
26.125000	2.3576970e-45	1.0289950e-44
26.250000	2.2679980e-45	9.9205250e-45
26.375000	2.1878900e-45	9.5715000e-45
26.500000	2.1211700e-45	9.2408000e-45
26.625000	2.0683770e-45	8.9259500e-45
26.750000	2.0292270e-45	8.6284500e-45
26.875000	2.0122100e-45	8.3466000e-45
27.000000	2.0269620e-45	8.0784000e-45
27.125000	2.0861350e-45	7.8233500e-45
27.250000	2.2113730e-45	7.5817500e-45
27.375000	2.4648070e-45	7.3520000e-45
27.500000	3.0106000e-45	7.1333250e-45
27.625000	4.0976750e-45	6.9241250e-45
27.750000	5.8022500e-45	6.7255750e-45
27.875000	9.8646500e-45	6.5362250e-45
28.000000	2.2670750e-44	6.3545750e-45
28.125000	7.9300000e-44	6.1820500e-45
28.250000	5.7829750e-44	6.0174500e-45
28.375000	1.5203230e-44	5.8604250e-45
28.500000	7.2689750e-45	5.7100500e-45
28.625000	4.4771750e-45	5.5653750e-45
28.750000	3.0478000e-45	5.4268500e-45
28.875000	2.1614500e-45	5.2951000e-45
29.000000	1.6823620e-45	5.1720500e-45
29.125000	1.4109350e-45	5.0531000e-45
29.250000	1.2391480e-45	4.9419750e-45
29.375000	1.1230200e-45	4.8319250e-45
29.500000	1.0397130e-45	4.7287250e-45
29.625000	9.7754000e-46	4.6330500e-45
29.750000	9.2829750e-46	4.5403000e-45
29.875000	8.8889250e-46	4.4784250e-45
30.000000	8.5647750e-46	4.3554750e-45
30.125000	8.2862500e-46	4.2582000e-45
30.250000	8.0166250e-46	4.1669500e-45
30.375000	7.8016000e-46	4.0792750e-45
30.500000	7.5611000e-46	3.9965750e-45
30.625000	7.3866250e-46	3.9164500e-45
30.750000	7.2236000e-46	3.8382500e-45
30.875000	7.0664000e-46	3.7634500e-45
31.000000	6.9155750e-46	3.6919500e-45
31.125000	6.7712250e-46	3.6230000e-45
31.250000	6.6328000e-46	3.5562750e-45
31.375000	6.4997500e-46	3.4915500e-45
31.500000	6.3719500e-46	3.4282000e-45
31.625000	6.2491000e-46	3.3662500e-45
31.750000	6.1317000e-46	3.3448750e-45
31.875000	6.0181250e-46	3.3065250e-45
32.000000	5.9087250e-46	3.2699250e-45
32.125000	5.8046250e-46	3.2417000e-45
32.250000	5.7038000e-46	3.2310000e-45
