# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
16.000000	7.5331500e-43	8.3963500e-44	4.4195000e-42
16.250000	6.6163500e-43	7.4652500e-44	3.9346350e-42
16.500000	5.8137000e-43	6.6342000e-44	3.5038900e-42
16.750000	5.1091500e-43	5.9023000e-44	3.1217700e-42
17.000000	4.4901200e-43	5.2520500e-44	2.7814250e-42
17.250000	3.9546300e-43	4.6748900e-44	2.4790550e-42
17.500000	3.4887450e-43	4.1614850e-44	2.2117900e-42
17.750000	3.0734750e-43	3.7057950e-44	1.9724050e-42
18.000000	2.7146850e-43	3.3034900e-44	1.7602900e-42
18.250000	2.3954300e-43	2.9465900e-44	1.5718900e-42
18.500000	2.1204750e-43	2.6274450e-44	1.4045950e-42
18.750000	1.8778400e-43	2.3440400e-44	1.2559050e-42
19.000000	1.6659300e-43	2.0930900e-44	1.1231300e-42
19.250000	1.4779950e-43	1.8691950e-44	1.0040550e-42
19.500000	1.3135600e-43	1.6716650e-44	8.9774500e-43
19.750000	1.1691050e-43	1.4959100e-44	8.0235000e-43
20.000000	1.0431200e-43	1.3391700e-44	7.1823500e-43
20.250000	9.3250500e-44	1.2001800e-44	6.4350500e-43
20.500000	8.3441500e-44	1.0767050e-44	5.7686000e-43
20.750000	7.4666500e-44	9.6756500e-45	5.1701500e-43
21.000000	6.6922000e-44	8.7085500e-45	4.6456200e-43
21.250000	6.0119000e-44	7.8436000e-45	4.1745000e-43
21.500000	5.4086500e-44	7.0618000e-45	3.7519450e-43
21.750000	4.8781050e-44	6.3701000e-45	3.3792000e-43
22.000000	4.4152400e-44	5.7527500e-45	3.0423200e-43
22.250000	4.0044400e-44	5.1928500e-45	2.7413900e-43
22.500000	3.6412900e-44	4.6941600e-45	2.4705200e-43
22.750000	3.3182150e-44	4.2490050e-45	2.2309600e-43
23.000000	3.0292000e-44	3.8507400e-45	2.0150150e-43
23.250000	2.7749850e-44	3.4970050e-45	1.8242050e-43
23.500000	2.5477850e-44	3.1773350e-45	1.6518700e-43
23.750000	2.3464850e-44	2.8917750e-45	1.4995150e-43
24.000000	2.1683350e-44	2.6355150e-45	1.3626900e-43
24.250000	2.0094650e-44	2.4073900e-45	1.2399150e-43
24.500000	1.8694100e-44	2.2050200e-45	1.1297950e-43
24.750000	1.7432350e-44	2.0213550e-45	1.0305800e-43
25.000000	1.6310800e-44	1.8560650e-45	9.4116000e-44
25.250000	1.5308600e-44	1.7074700e-45	8.6026500e-44
25.500000	1.4406350e-44	1.5730250e-45	7.8798500e-44
