mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.33591	0.34314	0.03873	0.8076	0.9038	0.07539	0.07013	0.22769	0.0839	0.05042	0.04684	0.13198	0.0425	0.44502	0.32368
0.34124	0.42583	0.03956	0.89576	0.89395	0.06691	0.05645	0.24617	0.09421	0.04234	0.05064	0.12113	0.035	0.39412	0.34208
0.25296	0.44314	0.02505	0.91733	0.9272	0.0572	0.05491	0.23718	0.10264	0.03781	0.04135	0.14219	0.03192	0.29753	0.35778
0.47529	0.61409	0.0058	0.91665	0.93142	0.05092	0.0595	0.21003	0.08301	0.03039	0.03319	0.14411	0.01502	0.37376	0.35844
0.33256	0.42988	0.00599	0.92386	0.93261	0.06313	0.04708	0.23326	0.10145	0.03536	0.01833	0.16534	0.01026	0.29862	0.3481
0.34407	0.49472	0.00298	0.78831	0.93102	0.05071	0.04112	0.22895	0.0974	0.01882	0.01236	0.1635	0.00714	0.44474	0.34534
0.28747	0.46545	0.00484	0.82621	0.93535	0.05726	0.04144	0.25025	0.08784	0.0088	0.00966	0.20571	0.00386	0.31619	0.34628
0.29893	0.46506	0.00081	0.87566	0.93409	0.04656	0.04203	0.24704	0.09527	0.00858	0.00466	0.15642	0.00953	0.38379	0.34193
0.25591	0.45181	0.00064	0.90084	0.93666	0.04154	0.0459	0.23591	0.09389	0.00613	0.00314	0.14035	0.00432	0.35539	0.35828
0.31062	0.39271	0.00111	0.91556	0.93652	0.06614	0.03883	0.21525	0.0948	0.00374	0.00433	0.16023	0.00312	0.3508	0.3351
0.33073	0.55281	0.00091	0.86934	0.93666	0.03952	0.03915	0.24421	0.08263	0.00525	0.00201	0.1513	0.00389	0.3609	0.34258
0.22949	0.39914	0.00056	0.90328	0.93566	0.05485	0.0451	0.26103	0.09418	0.00165	0.00754	0.16909	0.00251	0.36062	0.34804
0.21142	0.39031	0.00084	0.96465	0.93756	0.04747	0.04013	0.23745	0.0892	0.00468	0.00388	0.16142	0.0042	0.31628	0.33463
0.22167	0.37342	0.00151	0.99534	0.93544	0.05672	0.04803	0.23417	0.09072	0.00152	0.00398	0.18154	0.0013	0.32855	0.33863
0.21295	0.30458	0.00145	0.97595	0.93067	0.05748	0.04226	0.26149	0.0774	0.0008	0.00402	0.21045	0.0012	0.36099	0.34433
0.18005	0.24414	0.00053	0.98993	0.9293	0.05257	0.0414	0.27111	0.09196	0.0012	0.00577	0.20345	0.0017	0.39287	0.32691
0.24324	0.37283	0.00068	0.99877	0.93158	0.06195	0.042	0.23894	0.07749	0.00084	0.0071	0.17027	0.00161	0.38956	0.3304
0.20738	0.29909	0.00042	0.97655	0.92792	0.04407	0.03959	0.26823	0.09319	0.00154	0.00338	0.24688	0.00291	0.46205	0.32928
0.2638	0.4729	0.00069	0.98515	0.93226	0.04115	0.03368	0.23262	0.07685	0.00067	0.00471	0.17862	0.00089	0.43041	0.35176
0.19842	0.32383	0.00123	0.99032	0.93494	0.03595	0.04347	0.26271	0.08015	0.0021	0.00599	0.2256	0.00441	0.40213	0.34306
0.19014	0.32485	0.00086	0.99514	0.93305	0.06116	0.03585	0.23659	0.08705	0.00151	0.00582	0.22334	0.00087	0.44559	0.33815
0.20041	0.36023	0.00043	0.98727	0.93207	0.06229	0.03979	0.23771	0.07211	0.00049	0.00365	0.22421	0.00106	0.41612	0.33876
0.20806	0.35939	0.00094	0.96612	0.93093	0.05523	0.04019	0.25288	0.07214	0.00198	0.00473	0.21991	0.00171	0.39496	0.34847
0.16028	0.27114	0.00036	0.97886	0.93177	0.059	0.03434	0.25927	0.08768	0.00191	0.00302	0.28927	0.00238	0.45984	0.34094
0.20894	0.3281	0.00087	0.99167	0.92807	0.05395	0.03667	0.2569	0.07915	0.00098	0.00458	0.21418	0.00212	0.48043	0.34602
0.24158	0.51285	0.00217	0.98139	0.93298	0.04925	0.04172	0.23655	0.07054	0.00138	0.00471	0.19053	0.00113	0.48343	0.32777
0.3098	0.59579	0.00074	0.9832	0.93113	0.04787	0.04054	0.21122	0.06668	0.00205	0.00701	0.20427	0.00107	0.45454	0.343
0.26482	0.4106	0.00086	0.97905	0.92882	0.05154	0.03664	0.24987	0.08946	0.00157	0.00485	0.20671	0.00116	0.50703	0.34051
0.2446	0.52028	0.00114	0.98966	0.93195	0.06174	0.04028	0.2176	0.0612	0.00147	0.0053	0.21875	0.00068	0.46824	0.35907
0.18436	0.2583	0.00065	0.96916	0.92997	0.05119	0.03535	0.26111	0.08138	0.00185	0.00612	0.26228	0.00128	0.46325	0.3261
0.2715	0.43244	0.00038	0.9619	0.93215	0.06313	0.04514	0.23416	0.09126	0.00103	0.00353	0.22325	0.00156	0.46368	0.33927
0.30835	0.55513	0.00121	0.96852	0.92941	0.06785	0.04087	0.21778	0.06391	0.00191	0.00314	0.20115	0.00167	0.54354	0.33737
0.18729	0.2088	0.0012	0.95699	0.92839	0.02847	0.03137	0.30891	0.08889	0.00113	0.0033	0.27978	0.00235	0.42164	0.3429
0.2719	0.42496	0.00102	0.9441	0.93011	0.05352	0.03384	0.2392	0.07204	0.00152	0.0046	0.25546	0.00094	0.5392	0.32539
0.20342	0.31475	0.00071	0.98055	0.93119	0.06198	0.03552	0.25065	0.07756	0.00142	0.00462	0.27272	0.00189	0.49598	0.3484
0.29376	0.43741	0.00063	0.95186	0.92974	0.05644	0.02717	0.23362	0.09267	0.0017	0.00489	0.23276	0.00141	0.52701	0.33091
0.22913	0.33183	0.00064	0.97111	0.92822	0.07105	0.03671	0.23745	0.08151	0.00252	0.00315	0.25777	0.00116	0.53671	0.32924
0.26466	0.38307	0.00057	0.94427	0.92881	0.05668	0.03669	0.2309	0.07916	0.00188	0.00379	0.28052	0.00101	0.53467	0.31758
0.22475	0.31619	0.00064	0.97373	0.9299	0.05063	0.03722	0.2613	0.07513	0.00068	0.00527	0.27254	0.00132	0.45454	0.33457
0.2439	0.35857	0.00137	0.97723	0.93119	0.05353	0.03903	0.23706	0.0778	0.0011	0.00326	0.31092	0.00097	0.49757	0.32925
0.27734	0.44047	0.00079	0.97407	0.93155	0.04141	0.03926	0.22407	0.04396	0.00113	0.00613	0.26057	0.0011	0.49202	0.33178
0.20086	0.28462	0.00039	0.98673	0.92945	0.03525	0.03549	0.27904	0.08386	0.00118	0.00914	0.249	0.00092	0.52124	0.32962
0.22544	0.37449	0.00064	0.98239	0.93043	0.06693	0.04001	0.22484	0.04532	0.00133	0.00559	0.27136	0.00186	0.49271	0.3321
0.17905	0.21698	0.00103	0.94384	0.93007	0.06403	0.04346	0.23361	0.07707	0.00132	0.00215	0.30583	0.00064	0.4612	0.33586
