mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.47731	0.42948	0.04873	0.82244	0.19405	0.07553	0.05461	0.03044	0.01539	0.04726	0.08633	0.42569	0.05044	0.89326	0.4867
0.49234	0.42354	0.04751	0.80523	0.19249	0.07748	0.05421	0.03206	0.01551	0.04809	0.08621	0.42568	0.05015	0.90286	0.47415
0.49897	0.42167	0.04589	0.80071	0.18774	0.07516	0.05115	0.03069	0.01489	0.04788	0.08425	0.42455	0.04933	0.89984	0.47089
0.50241	0.42591	0.04638	0.79574	0.1843	0.07449	0.05101	0.03116	0.01559	0.04677	0.08456	0.42263	0.04863	0.87603	0.4716
0.50592	0.42865	0.04533	0.80181	0.18225	0.07129	0.05017	0.02941	0.01602	0.04713	0.08296	0.42537	0.0487	0.88468	0.48248
0.50628	0.42709	0.04841	0.80151	0.18249	0.07357	0.05043	0.02929	0.01683	0.04602	0.08385	0.42397	0.04759	0.88173	0.48984
0.50725	0.4305	0.04776	0.79667	0.18185	0.0737	0.0511	0.02961	0.01846	0.04536	0.08344	0.42297	0.04822	0.90287	0.48919
0.50256	0.42997	0.04839	0.80587	0.18077	0.07376	0.05029	0.03064	0.01707	0.04697	0.08166	0.41966	0.04944	0.88923	0.49123
0.50221	0.43009	0.04628	0.80521	0.18236	0.07143	0.04984	0.03003	0.01637	0.04656	0.08629	0.42574	0.04979	0.88573	0.49103
0.4997	0.42556	0.04628	0.79415	0.18112	0.07162	0.0493	0.03001	0.01585	0.04709	0.0862	0.42565	0.04876	0.92553	0.48673
0.49964	0.42592	0.04663	0.80037	0.17877	0.07305	0.04951	0.02907	0.01696	0.04645	0.08569	0.42376	0.0487	0.89598	0.48186
0.49854	0.42139	0.04579	0.79508	0.179	0.07273	0.05064	0.03007	0.01702	0.04663	0.08632	0.41987	0.04789	0.91341	0.48083
0.49506	0.42089	0.04555	0.81579	0.18376	0.07298	0.05007	0.02921	0.01654	0.04597	0.08266	0.42419	0.04946	0.89524	0.47441
0.49888	0.42436	0.04535	0.79993	0.18392	0.07204	0.05069	0.02942	0.01614	0.04753	0.08444	0.42403	0.04783	0.88436	0.48684
0.4937	0.42784	0.04529	0.79495	0.18293	0.07225	0.05149	0.03022	0.01575	0.04569	0.08607	0.41932	0.04768	0.8998	0.49221
0.49584	0.42674	0.04583	0.80044	0.18567	0.07231	0.05083	0.02998	0.01477	0.0469	0.08479	0.4195	0.04684	0.88431	0.49571
0.49631	0.42751	0.04516	0.79743	0.18499	0.07312	0.04979	0.03136	0.01524	0.0452	0.08401	0.41955	0.04914	0.8787	0.49692
0.49366	0.42668	0.04587	0.79313	0.18808	0.07285	0.04947	0.03108	0.01525	0.04513	0.08004	0.42452	0.04942	0.90444	0.4953
0.49056	0.42887	0.04707	0.79776	0.18949	0.07337	0.04873	0.03169	0.01483	0.04558	0.08337	0.42558	0.04921	0.88662	0.49773
0.49124	0.4273	0.04779	0.78824	0.19125	0.07304	0.04996	0.02924	0.01537	0.04723	0.08541	0.42265	0.04997	0.89441	0.49586
0.49338	0.43136	0.04602	0.80547	0.19262	0.07362	0.05091	0.02901	0.01538	0.04665	0.08488	0.42211	0.04835	0.88721	0.48959
0.49085	0.43473	0.04706	0.79423	0.192	0.06996	0.04982	0.02947	0.01628	0.04516	0.08565	0.42055	0.0485	0.87054	0.48664
0.49288	0.42648	0.04679	0.7821	0.189	0.07036	0.05006	0.03123	0.01557	0.04524	0.0857	0.42354	0.05	0.88892	0.48821
0.49366	0.42986	0.0477	0.79186	0.19113	0.07016	0.04969	0.02997	0.01544	0.04583	0.08565	0.42183	0.04985	0.88146	0.4825
0.48888	0.42779	0.04645	0.79088	0.19405	0.0725	0.05074	0.03012	0.01509	0.04543	0.08742	0.41974	0.04922	0.89018	0.48313
0.49002	0.43169	0.04609	0.8024	0.19018	0.07085	0.04983	0.0296	0.01494	0.04809	0.08895	0.42184	0.04964	0.88071	0.47968
0.48656	0.4346	0.04644	0.79452	0.19253	0.07012	0.05106	0.0305	0.01624	0.04688	0.08828	0.42137	0.05123	0.89662	0.47594
0.48967	0.43158	0.0469	0.79462	0.18855	0.07155	0.05163	0.03059	0.01569	0.04635	0.08733	0.42459	0.04927	0.87782	0.47604
0.48613	0.42985	0.04702	0.78967	0.18968	0.07114	0.05052	0.03029	0.01542	0.04614	0.08939	0.42044	0.05022	0.90984	0.47794
0.48388	0.43245	0.04731	0.78905	0.19184	0.07084	0.0538	0.03048	0.01517	0.04681	0.08841	0.42129	0.04735	0.89611	0.47441
0.48179	0.43312	0.04619	0.79183	0.19553	0.07153	0.05286	0.02938	0.01508	0.048	0.08672	0.42023	0.04908	0.88563	0.47116
0.47873	0.43459	0.04721	0.79325	0.19538	0.07241	0.0508	0.02928	0.01465	0.04667	0.08817	0.4172	0.04835	0.9004	0.46628
0.48785	0.43374	0.04696	0.79763	0.19448	0.07349	0.05103	0.02894	0.01562	0.04758	0.0879	0.41961	0.05005	0.8897	0.47109
0.48647	0.43436	0.04701	0.81066	0.19139	0.07456	0.05151	0.02895	0.01516	0.04658	0.08621	0.42216	0.05009	0.87576	0.47395
0.48701	0.43566	0.04791	0.81072	0.19452	0.07285	0.0523	0.03032	0.01493	0.04592	0.08691	0.42279	0.04961	0.88927	0.47816
0.48594	0.43445	0.04712	0.79652	0.19412	0.07317	0.05004	0.03019	0.01507	0.04681	0.08485	0.42214	0.04952	0.88431	0.48477
0.48539	0.44219	0.04637	0.7959	0.19362	0.07196	0.05084	0.02945	0.01518	0.04599	0.08512	0.42722	0.04993	0.87644	0.47581
0.49193	0.4441	0.04546	0.79601	0.1922	0.07214	0.04879	0.03065	0.01466	0.04657	0.08524	0.42419	0.04858	0.88793	0.47366
0.48324	0.43992	0.04521	0.79951	0.1901	0.07275	0.05117	0.03007	0.01528	0.0458	0.08522	0.42293	0.04876	0.89935	0.47674
0.47965	0.43754	0.04548	0.79463	0.19214	0.07403	0.05143	0.03042	0.01552	0.04593	0.08453	0.42292	0.04925	0.88114	0.48395
0.47998	0.43786	0.04499	0.80341	0.19213	0.07529	0.05122	0.03118	0.01554	0.0462	0.08463	0.42334	0.05034	0.8677	0.4805
0.4857	0.44051	0.04562	0.80259	0.18804	0.0732	0.05146	0.03132	0.01433	0.04656	0.08531	0.42371	0.04962	0.89757	0.47887
0.48085	0.44035	0.04648	0.7944	0.18693	0.07248	0.05181	0.03075	0.01547	0.04653	0.08254	0.42403	0.04912	0.88729	0.48054
0.48215	0.43629	0.04683	0.7947	0.18765	0.07197	0.05078	0.02895	0.0154	0.04672	0.0848	0.42191	0.04937	0.87873	0.47011
0.47671	0.44678	0.04686	0.80105	0.18766	0.07428	0.05216	0.02984	0.01466	0.04637	0.08514	0.4236	0.04756	0.88922	0.47526
0.47318	0.44682	0.04568	0.8059	0.18964	0.07335	0.05213	0.02999	0.01481	0.04637	0.08607	0.42293	0.04741	0.87729	0.47634
0.47606	0.44619	0.04585	0.79489	0.18582	0.07264	0.05251	0.03001	0.01447	0.04534	0.08484	0.42179	0.05038	0.89984	0.47933
0.47048	0.44457	0.0452	0.81131	0.18871	0.07072	0.05069	0.03056	0.01426	0.04611	0.08567	0.42228	0.04877	0.86533	0.47813
0.4769	0.44685	0.04565	0.79609	0.18472	0.07227	0.05005	0.02967	0.01511	0.0453	0.08697	0.4189	0.05109	0.88479	0.48042
0.47654	0.44832	0.04674	0.79996	0.18648	0.07295	0.05101	0.0281	0.01456	0.04635	0.08588	0.42122	0.04917	0.87951	0.48157
0.48312	0.44731	0.04559	0.81015	0.18554	0.07117	0.05027	0.02926	0.0144	0.04486	0.08743	0.41992	0.0484	0.89096	0.47493
0.48186	0.4411	0.04787	0.81073	0.18445	0.07233	0.05099	0.0293	0.01514	0.04599	0.08788	0.42125	0.04896	0.86145	0.47605
0.47609	0.43946	0.04561	0.80186	0.18718	0.07202	0.05083	0.02901	0.01504	0.04612	0.08661	0.4212	0.04919	0.87287	0.47374
0.49197	0.44027	0.04492	0.80735	0.18702	0.06934	0.05043	0.02876	0.01527	0.04729	0.08757	0.42416	0.04858	0.89219	0.47715
0.49339	0.44303	0.04623	0.79952	0.18538	0.07144	0.04992	0.02847	0.01529	0.04633	0.08709	0.41619	0.04879	0.87883	0.4801
0.49143	0.43718	0.04547	0.77044	0.1864	0.07053	0.05024	0.02938	0.01433	0.04608	0.08818	0.41964	0.04758	0.88832	0.47832
0.48749	0.43921	0.04683	0.79962	0.18939	0.07193	0.05133	0.02893	0.01538	0.04469	0.08426	0.4215	0.04943	0.90079	0.47731
0.48065	0.44147	0.04763	0.79118	0.19278	0.07092	0.0503	0.02851	0.015	0.0456	0.08477	0.42067	0.04919	0.89666	0.47828
0.48294	0.44565	0.04519	0.79076	0.19057	0.07172	0.0503	0.02758	0.01537	0.0455	0.08609	0.41876	0.04821	0.889	0.47735
0.478	0.44571	0.0462	0.8007	0.19168	0.07145	0.04911	0.02958	0.01458	0.04736	0.08672	0.4201	0.04835	0.89888	0.47892
0.47737	0.44592	0.04494	0.80299	0.19544	0.07057	0.0487	0.02807	0.01536	0.04596	0.0873	0.41475	0.04945	0.90372	0.47671
0.47707	0.45353	0.04507	0.80145	0.19825	0.06919	0.04879	0.0282	0.01544	0.04462	0.0866	0.41727	0.05064	0.90224	0.48265
0.4819	0.45081	0.04679	0.7935	0.20079	0.07126	0.04928	0.02883	0.01462	0.04544	0.08643	0.42019	0.0487	0.87746	0.48873
0.48392	0.4519	0.04539	0.7979	0.20417	0.07096	0.04973	0.02985	0.0147	0.04614	0.08784	0.41629	0.05042	0.88572	0.48789
0.49159	0.44608	0.04644	0.79111	0.20769	0.0705	0.04812	0.03037	0.01518	0.04532	0.08712	0.41934	0.04776	0.89308	0.47897
0.49269	0.44619	0.04678	0.79858	0.20733	0.06915	0.05007	0.02906	0.0145	0.04485	0.08481	0.41707	0.04868	0.89793	0.47888
0.48712	0.4397	0.04599	0.78052	0.20845	0.0703	0.05056	0.0294	0.01457	0.04575	0.08589	0.41926	0.04839	0.89395	0.47558
0.4848	0.44161	0.04583	0.78347	0.21111	0.07014	0.04959	0.02968	0.0152	0.04569	0.08658	0.41693	0.0495	0.88853	0.48717
0.47866	0.44115	0.04586	0.79155	0.21217	0.06762	0.04958	0.02974	0.01532	0.04563	0.08777	0.42045	0.0493	0.88564	0.48736
0.48126	0.44425	0.04446	0.78256	0.21255	0.06923	0.05069	0.02937	0.01457	0.04583	0.08722	0.4226	0.04896	0.91916	0.48588
0.48116	0.43859	0.04551	0.79249	0.21395	0.06898	0.05057	0.02897	0.01455	0.04565	0.0862	0.41843	0.05035	0.89004	0.48533
0.48824	0.43887	0.04536	0.78243	0.21206	0.06943	0.05004	0.02958	0.01506	0.04627	0.08803	0.42051	0.04928	0.89737	0.4863
0.49131	0.44023	0.04512	0.79501	0.21658	0.06796	0.05012	0.02894	0.0142	0.04754	0.08584	0.4176	0.05011	0.8945	0.48527
0.48937	0.44322	0.04622	0.77734	0.21655	0.07126	0.04858	0.02968	0.0152	0.0464	0.08776	0.422	0.04843	0.90131	0.48578
0.48967	0.44466	0.04514	0.79791	0.21999	0.06686	0.04899	0.02961	0.01467	0.04552	0.08478	0.41972	0.04871	0.89021	0.47724
0.49089	0.43561	0.04475	0.78903	0.22019	0.06766	0.05011	0.02915	0.01472	0.04492	0.08644	0.41966	0.04896	0.88762	0.48396
0.49782	0.43916	0.04489	0.78923	0.22314	0.06842	0.0497	0.03007	0.01462	0.0456	0.08527	0.42222	0.04863	0.88621	0.48665
0.48863	0.4356	0.04416	0.79825	0.22665	0.06993	0.05019	0.02982	0.01512	0.04634	0.08601	0.42288	0.04862	0.90007	0.48621
0.48525	0.44739	0.04638	0.79812	0.22585	0.06978	0.04858	0.02864	0.01437	0.04553	0.0851	0.41648	0.04872	0.87918	0.48608
0.4863	0.44383	0.04557	0.78777	0.22681	0.07007	0.04981	0.03127	0.01504	0.04545	0.08538	0.4194	0.04868	0.87579	0.48067
0.49132	0.44574	0.04522	0.79086	0.22863	0.06832	0.04915	0.02931	0.01478	0.04614	0.08606	0.42002	0.04811	0.89644	0.48682
0.48085	0.44682	0.04493	0.78297	0.23135	0.06868	0.04854	0.03044	0.01561	0.04551	0.08503	0.42229	0.049	0.89209	0.49344
0.48166	0.44749	0.04675	0.7963	0.23121	0.06685	0.04869	0.03065	0.01551	0.04622	0.08583	0.41974	0.04761	0.89259	0.48476
0.49049	0.44618	0.04519	0.79437	0.23125	0.07036	0.04962	0.02935	0.01509	0.04493	0.08544	0.41421	0.0485	0.8809	0.48594
0.49297	0.45048	0.04562	0.79658	0.23467	0.06848	0.048	0.03026	0.01474	0.04578	0.08752	0.41913	0.04712	0.89324	0.48893
0.49503	0.45052	0.04444	0.79521	0.23173	0.07062	0.04931	0.02898	0.01498	0.04527	0.08491	0.42206	0.04928	0.87054	0.48796
0.48763	0.44665	0.0449	0.78374	0.23373	0.06802	0.04713	0.02957	0.01546	0.04569	0.08473	0.4205	0.0482	0.89539	0.48893
0.48696	0.45166	0.04481	0.78292	0.23547	0.06708	0.04899	0.02903	0.01517	0.04536	0.08502	0.42088	0.04862	0.88732	0.49507
0.48517	0.44823	0.04614	0.78789	0.23513	0.0671	0.04798	0.0292	0.01548	0.04405	0.08466	0.4188	0.04928	0.89956	0.48112
0.49065	0.45032	0.04504	0.79124	0.23792	0.06666	0.04938	0.02978	0.01514	0.04514	0.08525	0.41995	0.04945	0.89274	0.48004
