mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.4711	0.4181	0.05167	0.80332	0.19702	0.07104	0.05302	0.03464	0.01638	0.04991	0.09748	0.41621	0.04939	0.88851	0.46828
0.49036	0.42069	0.04925	0.80424	0.19163	0.07237	0.05162	0.03648	0.01718	0.04856	0.10022	0.4145	0.0487	0.89344	0.48449
0.50653	0.42606	0.04654	0.80041	0.18576	0.07084	0.05205	0.03443	0.01724	0.04676	0.09487	0.41167	0.0493	0.89903	0.48553
0.50773	0.42457	0.04601	0.79321	0.18193	0.07095	0.05045	0.0293	0.01578	0.04559	0.08826	0.41013	0.04871	0.90111	0.48361
0.49838	0.43003	0.04617	0.79748	0.18561	0.07145	0.05069	0.02963	0.01449	0.04711	0.08711	0.41569	0.04889	0.89926	0.48026
0.4916	0.4331	0.0461	0.79646	0.18546	0.06848	0.05103	0.02937	0.01494	0.04545	0.08771	0.41801	0.04951	0.9016	0.47957
0.48405	0.43255	0.04592	0.79424	0.18596	0.0698	0.04972	0.03024	0.0154	0.04693	0.08567	0.41471	0.04934	0.88287	0.48166
0.48005	0.43288	0.04638	0.78837	0.18638	0.06951	0.04934	0.03025	0.01578	0.04613	0.08804	0.41851	0.05041	0.89251	0.48204
0.47145	0.44313	0.04641	0.78229	0.18687	0.06782	0.0503	0.02961	0.01573	0.04587	0.08658	0.41274	0.04817	0.87414	0.47384
0.47117	0.44306	0.04609	0.78777	0.18567	0.06843	0.05049	0.02914	0.01513	0.04648	0.08708	0.41314	0.04948	0.89873	0.47112
0.47233	0.44211	0.04491	0.79222	0.18798	0.0673	0.05045	0.02977	0.01631	0.0449	0.0881	0.41741	0.04756	0.89949	0.47903
0.46954	0.44213	0.04628	0.79486	0.18968	0.06871	0.04979	0.03007	0.01504	0.04503	0.08782	0.41228	0.04979	0.89381	0.48489
0.47404	0.44355	0.04692	0.78614	0.18688	0.06875	0.05017	0.02946	0.01585	0.0452	0.08499	0.41609	0.04949	0.89501	0.48241
0.48431	0.44878	0.04523	0.78625	0.18856	0.06726	0.05129	0.02945	0.01546	0.04615	0.08615	0.41293	0.04949	0.90004	0.47255
0.48967	0.44569	0.04466	0.79282	0.18691	0.06742	0.04983	0.02973	0.0153	0.0463	0.08501	0.41547	0.05016	0.88013	0.47356
0.48857	0.44518	0.04585	0.78816	0.19143	0.06764	0.05042	0.03024	0.01463	0.04704	0.08361	0.41421	0.04952	0.89927	0.48468
0.49864	0.45344	0.04633	0.7906	0.19037	0.06859	0.05069	0.02913	0.01543	0.04524	0.08488	0.4148	0.0479	0.89243	0.4877
0.49766	0.45142	0.04464	0.79022	0.19125	0.06825	0.05055	0.02905	0.01615	0.0466	0.08391	0.40992	0.04837	0.88426	0.47174
0.48743	0.44463	0.04692	0.78814	0.1908	0.06673	0.04987	0.02975	0.01514	0.04612	0.08628	0.41508	0.04937	0.90057	0.46702
0.48699	0.44849	0.04635	0.79325	0.18861	0.06964	0.04959	0.03009	0.01599	0.04596	0.08615	0.41683	0.04918	0.88816	0.47696
0.49593	0.44151	0.04689	0.79291	0.18799	0.0685	0.05048	0.03001	0.01489	0.04539	0.08653	0.41762	0.04838	0.8992	0.48543
0.49229	0.45035	0.04704	0.79035	0.19228	0.06838	0.04859	0.03002	0.01606	0.04599	0.0834	0.41275	0.04788	0.86672	0.48674
0.49124	0.44844	0.04494	0.79602	0.19036	0.06745	0.04974	0.0312	0.01547	0.04637	0.08506	0.41744	0.0486	0.90908	0.47498
0.50119	0.4434	0.04678	0.7913	0.18442	0.06626	0.04975	0.02942	0.01602	0.04646	0.08574	0.41225	0.04776	0.88231	0.47249
0.49579	0.44771	0.04491	0.78936	0.18864	0.06832	0.05097	0.02932	0.01585	0.04485	0.0865	0.41528	0.04931	0.88742	0.47117
0.49802	0.44739	0.04715	0.77917	0.18976	0.06728	0.04879	0.03068	0.01557	0.04466	0.08547	0.41639	0.04783	0.89792	0.4723
0.49614	0.44487	0.0448	0.79113	0.19011	0.0688	0.04989	0.03047	0.01531	0.04483	0.08517	0.4152	0.04893	0.89193	0.48399
0.49752	0.44024	0.04512	0.79358	0.18572	0.06806	0.04965	0.03008	0.01621	0.04628	0.08562	0.41582	0.04738	0.89931	0.48181
0.49689	0.44325	0.04559	0.79236	0.19045	0.06725	0.0495	0.03064	0.0147	0.04662	0.08651	0.41835	0.04851	0.87906	0.47465
0.49886	0.44413	0.04534	0.79211	0.19084	0.06817	0.05034	0.0305	0.01567	0.04666	0.0838	0.41551	0.04875	0.87286	0.4773
0.49903	0.44342	0.04568	0.79276	0.1901	0.06814	0.04856	0.0294	0.01587	0.04532	0.08823	0.41395	0.04938	0.87606	0.47323
0.49578	0.43641	0.04464	0.78339	0.19099	0.06745	0.0497	0.03031	0.01582	0.04583	0.08424	0.41597	0.04918	0.91776	0.46976
0.49669	0.43242	0.04598	0.79315	0.18651	0.06853	0.04956	0.03099	0.01596	0.04513	0.08582	0.41602	0.04936	0.90108	0.47945
0.49504	0.44882	0.0457	0.7822	0.18744	0.06817	0.05045	0.02984	0.01521	0.0452	0.08516	0.41311	0.04989	0.89695	0.47921
0.50183	0.44107	0.0456	0.78825	0.18866	0.06824	0.04848	0.03011	0.01486	0.04415	0.08451	0.41842	0.04758	0.89433	0.48082
