mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.68525	0.57234	0.04784	0.75833	0.59813	0.10273	0.07309	0.01455	0.02659	0.04736	0.07349	0.44749	0.04866	0.49624	0.80129
0.68522	0.5819	0.04702	0.7751	0.59491	0.10262	0.07464	0.01489	0.02457	0.04543	0.07204	0.44527	0.04814	0.49126	0.804
0.68391	0.58525	0.04572	0.77146	0.59245	0.09981	0.07381	0.0157	0.02603	0.04439	0.07091	0.44639	0.04725	0.48571	0.80417
0.68179	0.5879	0.04608	0.77864	0.59051	0.09515	0.06958	0.01579	0.02581	0.04474	0.07008	0.44617	0.04738	0.4874	0.80932
0.67474	0.58453	0.04744	0.75302	0.58837	0.0964	0.07313	0.01624	0.02624	0.04487	0.06911	0.44619	0.04673	0.47933	0.80559
0.67591	0.58825	0.04667	0.76127	0.58969	0.09696	0.07339	0.01591	0.02685	0.04588	0.07008	0.44234	0.04696	0.47622	0.79942
0.67066	0.5919	0.04645	0.78194	0.58651	0.09677	0.07212	0.01604	0.02456	0.04483	0.07092	0.44601	0.04722	0.47269	0.80925
0.66613	0.59668	0.04649	0.77353	0.58662	0.09715	0.07322	0.01609	0.02555	0.04627	0.07067	0.44371	0.04619	0.47979	0.80514
0.66378	0.60459	0.04601	0.76603	0.58213	0.09842	0.07215	0.0157	0.02593	0.04536	0.07048	0.44714	0.04747	0.47883	0.80151
0.66232	0.60932	0.04605	0.76753	0.57974	0.09856	0.07315	0.01614	0.02586	0.04626	0.07001	0.44384	0.04792	0.48752	0.80635
0.66276	0.60414	0.04678	0.76899	0.57671	0.0953	0.07309	0.01667	0.02476	0.04628	0.06989	0.44246	0.04709	0.48334	0.79782
0.6712	0.60587	0.04558	0.78609	0.57982	0.09583	0.0722	0.0164	0.0261	0.04602	0.06959	0.44175	0.04646	0.47601	0.80055
0.68599	0.59755	0.04679	0.75132	0.57616	0.09934	0.07232	0.01604	0.02652	0.04572	0.07047	0.44294	0.04667	0.47862	0.80188
0.68758	0.60168	0.04673	0.75293	0.57987	0.09773	0.07253	0.01559	0.02641	0.04577	0.06797	0.44782	0.04817	0.48522	0.8016
0.68033	0.59311	0.04661	0.76173	0.57884	0.09811	0.07092	0.01556	0.02648	0.04561	0.07061	0.44247	0.04628	0.48662	0.80759
0.68242	0.5874	0.04625	0.79413	0.57921	0.09798	0.07169	0.01541	0.02572	0.04595	0.06922	0.44294	0.04691	0.48148	0.80517
0.67655	0.59628	0.046	0.75951	0.57798	0.0954	0.07174	0.01585	0.02567	0.04513	0.0687	0.44441	0.04648	0.47869	0.80463
0.67913	0.59786	0.04637	0.76795	0.57756	0.09825	0.07234	0.01621	0.02519	0.04486	0.07147	0.44638	0.04684	0.47295	0.79943
0.68178	0.58785	0.04606	0.75477	0.57387	0.09854	0.07329	0.0154	0.02528	0.04354	0.06995	0.44254	0.04738	0.47636	0.8048
0.68031	0.59049	0.04666	0.77419	0.57516	0.09733	0.07203	0.01601	0.02548	0.04547	0.06853	0.44362	0.0469	0.47687	0.80354
0.67884	0.58828	0.04647	0.78818	0.57629	0.09576	0.07151	0.01681	0.02573	0.04622	0.07147	0.44472	0.04727	0.48311	0.80376
0.67796	0.6041	0.0463	0.76512	0.57153	0.0979	0.07165	0.01604	0.02647	0.04659	0.07044	0.44507	0.0471	0.48099	0.8059
0.6757	0.59648	0.04536	0.77276	0.57613	0.09971	0.07087	0.01491	0.0262	0.04385	0.06932	0.44491	0.04595	0.47542	0.79863
0.68139	0.59451	0.0462	0.78254	0.57475	0.09888	0.07236	0.01658	0.02512	0.04507	0.07053	0.44199	0.04722	0.48331	0.80084
0.67556	0.59423	0.04619	0.77778	0.57997	0.09756	0.07012	0.01575	0.02614	0.04467	0.06958	0.44442	0.04629	0.48065	0.80095
0.67396	0.59584	0.04622	0.78118	0.57411	0.09908	0.0715	0.01521	0.02542	0.0457	0.06979	0.44468	0.04706	0.47859	0.79527
0.67604	0.58926	0.0474	0.77905	0.5737	0.09983	0.07161	0.01672	0.02586	0.04515	0.07072	0.44271	0.04647	0.48111	0.80319
0.67495	0.58376	0.04675	0.775	0.57076	0.09799	0.07318	0.01537	0.0263	0.04424	0.06949	0.44707	0.04703	0.49365	0.80331
