mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.29745	0.43644	0.04753	0.60361	0.76139	0.04041	0.04089	0.02401	0.0165	0.04223	0.05414	0.11312	0.04065	0.19896	0.08277
0.34546	0.52391	0.0439	0.52724	0.75618	0.0381	0.03393	0.02274	0.01456	0.03951	0.04699	0.12742	0.03315	0.20946	0.07257
0.38765	0.57003	0.02645	0.73001	0.80397	0.02786	0.03567	0.02307	0.01336	0.03702	0.03432	0.10216	0.02608	0.17014	0.07898
0.37008	0.58354	0.01304	0.73071	0.7989	0.02469	0.03298	0.0241	0.01188	0.03588	0.03103	0.10247	0.01754	0.25688	0.07817
0.29449	0.45418	0.01001	0.74326	0.80384	0.02254	0.02543	0.02788	0.01027	0.02151	0.01196	0.14753	0.00636	0.26267	0.08233
0.30902	0.55921	0.00771	0.74081	0.8019	0.02295	0.01956	0.02166	0.01313	0.01507	0.00791	0.09203	0.00375	0.2657	0.07025
0.32172	0.63881	0.00794	0.7076	0.81178	0.02458	0.01567	0.01839	0.00974	0.00996	0.00932	0.09356	0.00394	0.28919	0.06584
0.2388	0.44197	0.00699	0.64739	0.79682	0.02082	0.01886	0.02108	0.01279	0.00985	0.00782	0.09807	0.00145	0.27057	0.08216
0.26359	0.46491	0.00647	0.78039	0.80306	0.01886	0.01686	0.02111	0.01327	0.00937	0.0074	0.10442	0.00347	0.27558	0.07215
0.22273	0.54658	0.00844	0.68337	0.80735	0.01797	0.01551	0.01692	0.01231	0.00913	0.00415	0.10092	0.00318	0.22962	0.07247
0.20225	0.3775	0.00312	0.58786	0.78576	0.02116	0.01805	0.01929	0.01037	0.00842	0.00854	0.19933	0.00055	0.26067	0.06794
0.33786	0.59993	0.00348	0.64175	0.80102	0.02136	0.01825	0.01645	0.01136	0.00838	0.00718	0.11356	0.00071	0.24746	0.06869
0.21389	0.46103	0.00148	0.5967	0.7852	0.01894	0.0185	0.02953	0.01049	0.00712	0.00734	0.1484	0.00103	0.25129	0.07207
0.34303	0.70247	0.00251	0.74431	0.79929	0.02107	0.01792	0.01775	0.01078	0.00763	0.00406	0.10994	0.00073	0.23444	0.06902
0.37886	0.61771	0.0016	0.82328	0.79706	0.02239	0.017	0.02311	0.00999	0.007	0.0061	0.0725	0.00112	0.27581	0.07027
0.22116	0.59479	0.00115	0.72592	0.79499	0.01733	0.0185	0.0187	0.01075	0.00719	0.00555	0.13009	0.00367	0.21553	0.07123
0.22528	0.50257	0.00155	0.55677	0.79466	0.01837	0.01693	0.02039	0.01235	0.00704	0.00624	0.10752	0.00105	0.24758	0.07014
0.23861	0.40794	0.0018	0.87423	0.78933	0.01536	0.01566	0.02914	0.01231	0.0054	0.01132	0.18055	0.00073	0.24526	0.06605
0.18288	0.37675	0.00175	0.57552	0.78035	0.01734	0.01699	0.02606	0.01087	0.00718	0.01054	0.18117	0.00055	0.28294	0.06399
0.22564	0.43795	0.00234	0.79191	0.80134	0.01766	0.01596	0.01992	0.01505	0.00548	0.00638	0.15054	0.0014	0.27025	0.06884
0.21609	0.33614	0.00263	0.6995	0.78113	0.01751	0.01609	0.02894	0.01558	0.00568	0.00621	0.24042	0.00094	0.25036	0.06449
0.31914	0.34649	0.00122	0.74843	0.77797	0.02012	0.01715	0.03492	0.01363	0.00509	0.00489	0.24174	0.00044	0.25868	0.06939
0.25523	0.44631	0.00373	0.71245	0.78863	0.0176	0.01618	0.02509	0.01726	0.00362	0.00948	0.15597	0.00049	0.26056	0.06787
0.22985	0.35286	0.00088	0.78331	0.77826	0.01503	0.01561	0.03179	0.01315	0.00466	0.00583	0.25468	0.00099	0.1942	0.06462
0.27602	0.40862	0.00097	0.66976	0.77556	0.01601	0.01887	0.02535	0.01597	0.00431	0.00363	0.21402	0.00117	0.23761	0.06678
0.235	0.39107	0.00086	0.70358	0.77153	0.01576	0.01817	0.02668	0.01031	0.00434	0.00476	0.21236	0.0009	0.22501	0.07065
0.28319	0.37168	0.00171	0.67793	0.77506	0.0214	0.01636	0.03377	0.01439	0.0052	0.0045	0.26677	0.00101	0.22723	0.0637
0.34602	0.58025	0.00333	0.72703	0.79194	0.02134	0.01586	0.02267	0.01324	0.00391	0.01739	0.12274	0.00018	0.22928	0.06318
0.27364	0.36749	0.00095	0.82029	0.7836	0.01584	0.01822	0.02795	0.01503	0.00258	0.00506	0.22796	0.00188	0.24525	0.06741
0.27539	0.33274	0.00095	0.83303	0.77469	0.01861	0.01597	0.03655	0.01451	0.00304	0.00288	0.25169	0.00077	0.24999	0.06843
0.26431	0.63992	0.00187	0.47208	0.79133	0.0156	0.01614	0.01908	0.01143	0.00438	0.01498	0.11018	0.0018	0.24481	0.06374
0.25396	0.49635	0.00104	0.67292	0.78379	0.01947	0.01596	0.02304	0.01009	0.00269	0.00692	0.18722	0.00085	0.20648	0.06876
0.24401	0.46929	0.00136	0.83394	0.78088	0.01906	0.0153	0.02221	0.01085	0.00433	0.00565	0.16636	0.00044	0.21869	0.06714
0.2709	0.38698	0.00104	0.8205	0.7779	0.02208	0.01881	0.04381	0.01211	0.00279	0.00428	0.2275	0.0012	0.24854	0.06327
0.373	0.7122	0.0017	0.79341	0.79378	0.01777	0.01942	0.02853	0.01157	0.00279	0.00978	0.08938	0.00035	0.21269	0.06469
0.30472	0.52979	0.00219	0.85537	0.78702	0.01952	0.01731	0.03748	0.00834	0.00337	0.00863	0.18551	0.00084	0.24538	0.06483
0.25058	0.49402	0.00143	0.69744	0.7811	0.01583	0.01709	0.03495	0.00618	0.00546	0.00647	0.19882	0.0007	0.24512	0.06674
0.3988	0.34711	0.00288	0.93846	0.7753	0.02393	0.01524	0.03247	0.01527	0.00423	0.00493	0.25012	0.00274	0.24143	0.06279
0.25968	0.36049	0.00224	0.82944	0.77881	0.01642	0.01618	0.04018	0.01265	0.00364	0.00552	0.17008	0.00065	0.25787	0.0648
