mass_1	mass_2	phase	time	distance	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	theta_jn	psi	ra	dec
0.94325	0.89684	0.04224	0.88256	0.87106	0.1159	0.0956	0.07546	0.02602	0.06079	0.07419	0.19301	0.05012	0.74055	0.34634
0.93679	0.84695	0.03695	0.84006	0.66057	0.17088	0.10144	0.05741	0.05014	0.06202	0.05352	0.16776	0.05227	0.73632	0.36301
0.93631	0.79551	0.03807	0.60472	0.59437	0.31111	0.11551	0.03419	0.02868	0.03697	0.09912	0.17551	0.04774	0.79548	0.30887
0.94109	0.85617	0.06895	0.97086	0.59996	0.36824	0.13632	0.04819	0.03188	0.0323	0.04872	0.16817	0.03946	0.78918	0.39784
0.96128	0.84439	0.05127	0.89982	0.54694	0.40109	0.11371	0.07889	0.02138	0.03456	0.04646	0.15738	0.0312	0.78651	0.38574
0.95612	0.80226	0.01657	0.89602	0.48037	0.2324	0.10877	0.06956	0.03036	0.02097	0.04738	0.11391	0.0236	0.8106	0.38916
0.94082	0.73322	0.01235	0.81906	0.61506	0.16709	0.07791	0.08882	0.01697	0.02731	0.05812	0.10183	0.01491	0.8078	0.45147
0.91668	0.5165	0.00788	0.80886	0.83844	0.15177	0.07908	0.05584	0.01582	0.01885	0.03255	0.04656	0.01574	0.8256	0.53589
0.90088	0.66269	0.0076	0.76893	0.85666	0.18702	0.08135	0.03379	0.02856	0.02696	0.04022	0.03503	0.02715	0.88655	0.45414
0.86134	0.59694	0.02114	0.76104	0.86934	0.2348	0.04789	0.03932	0.04715	0.03708	0.0884	0.04119	0.02025	0.75909	0.54523
0.83764	0.6018	0.02031	0.77707	0.88182	0.15251	0.05742	0.04261	0.03273	0.02693	0.04603	0.02871	0.01802	0.84911	0.50658
0.86432	0.77705	0.00507	0.80417	0.97083	0.22411	0.06322	0.04138	0.03885	0.03529	0.04078	0.03297	0.01604	0.73256	0.52352
0.61823	0.38852	0.00673	0.80114	0.94226	0.3408	0.10401	0.03647	0.03244	0.03503	0.05286	0.02503	0.01643	0.72698	0.46898
0.41749	0.30541	0.00804	0.80524	0.98509	0.24385	0.10063	0.03346	0.0117	0.03909	0.02167	0.02599	0.01622	0.79034	0.51424
0.38074	0.37329	0.0061	0.84826	0.98441	0.41523	0.08262	0.03824	0.04541	0.02236	0.08198	0.02143	0.0168	0.81278	0.47552
0.49413	0.34067	0.00865	0.7598	0.99208	0.25881	0.0826	0.10179	0.01467	0.02238	0.07403	0.01778	0.01237	0.66711	0.47868
0.39302	0.30569	0.00755	0.77992	0.98647	0.31528	0.06673	0.03593	0.01031	0.01912	0.02509	0.02219	0.012	0.76775	0.50268
0.49666	0.306	0.00732	0.78145	0.99384	0.334	0.08874	0.05609	0.01251	0.0236	0.01756	0.02638	0.00881	0.68123	0.5112
