mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.47223	0.53517	0.32723	0.75938	0.75055	0.552	0.14108	0.18805	0.25197	0.193	0.36678	0.15154	0.19898	0.09611	0.82985
0.21195	0.35973	0.28568	0.75998	0.46706	0.3518	0.0283	0.02307	0.19774	0.17634	0.11621	0.09179	0.06515	0.05264	0.80341
0.47836	0.4051	0.32797	0.76413	0.52069	0.52333	0.14678	0.10854	0.33371	0.22342	0.25817	0.1958	0.22539	0.10621	0.84175
0.15524	0.34318	0.20939	0.73093	0.50549	0.32889	0.01717	0.03917	0.13028	0.16257	0.09429	0.19454	0.06287	0.05088	0.7922
0.37987	0.39808	0.2472	0.72051	0.42708	0.48257	0.13108	0.15651	0.29963	0.1542	0.20148	0.15232	0.19157	0.16497	0.76802
0.24625	0.35197	0.26344	0.79977	0.546	0.40875	0.0226	0.04543	0.17289	0.14521	0.10732	0.10305	0.06862	0.04947	0.79255
0.20021	0.34749	0.27902	0.80898	0.4925	0.43936	0.02271	0.02845	0.16479	0.1438	0.12202	0.11782	0.09572	0.06409	0.83447
0.31551	0.46898	0.27724	0.83277	0.63624	0.38135	0.1089	0.14371	0.27199	0.15511	0.22265	0.12974	0.20798	0.14757	0.80861
0.21979	0.36552	0.26072	0.73608	0.51059	0.35583	0.01437	0.01924	0.1457	0.12573	0.12789	0.13874	0.08346	0.07478	0.80189
0.48131	0.42909	0.36378	0.77868	0.70979	0.4048	0.11454	0.12222	0.17147	0.2573	0.25238	0.17789	0.22692	0.10994	0.82481
0.22272	0.29654	0.26211	0.77004	0.45825	0.40093	0.01237	0.02359	0.11325	0.13244	0.1214	0.10175	0.04749	0.04874	0.78313
0.37148	0.46517	0.48386	0.67455	0.36228	0.29588	0.12204	0.08877	0.2966	0.15515	0.26592	0.15721	0.16231	0.11733	0.84181
0.20882	0.35602	0.25578	0.76653	0.6005	0.42323	0.01912	0.0252	0.14706	0.10649	0.11039	0.14507	0.07755	0.06536	0.78961
0.4725	0.38781	0.38606	0.75216	0.4954	0.36192	0.11385	0.11469	0.2577	0.22116	0.24255	0.19334	0.14752	0.13941	0.81452
0.16038	0.32376	0.29681	0.78983	0.52863	0.39785	0.01269	0.02604	0.08507	0.13823	0.12723	0.13236	0.07171	0.07504	0.80101
0.4254	0.40952	0.35113	0.62613	0.56661	0.41302	0.12087	0.13537	0.21619	0.23824	0.25556	0.15627	0.13819	0.11718	0.85891
