mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.20633	0.44063	0.27976	0.81297	0.54556	0.48279	0.1298	0.11804	0.18364	0.15954	0.205	0.26629	0.10748	0.11731	0.86154
0.24165	0.44563	0.30186	0.79258	0.52341	0.44912	0.11493	0.13904	0.20014	0.20827	0.21199	0.22451	0.11381	0.12452	0.87056
0.29268	0.43633	0.30791	0.7933	0.55057	0.49077	0.09953	0.1131	0.24247	0.20322	0.24396	0.2152	0.10864	0.17207	0.83491
0.30331	0.44416	0.2686	0.79162	0.59958	0.47123	0.12101	0.11778	0.22377	0.21064	0.26825	0.1968	0.11636	0.08774	0.84193
0.27944	0.41797	0.30737	0.79009	0.55728	0.4193	0.10791	0.12701	0.23105	0.2036	0.1956	0.23665	0.15088	0.08642	0.83227
0.27337	0.4231	0.30853	0.77152	0.58597	0.46331	0.11638	0.14543	0.22159	0.20606	0.21132	0.20231	0.11919	0.0916	0.82843
0.33196	0.40879	0.28135	0.76714	0.56304	0.42471	0.08756	0.14813	0.22735	0.14192	0.17353	0.24253	0.10521	0.11656	0.83842
0.32303	0.41356	0.27152	0.76723	0.55797	0.39017	0.1142	0.13219	0.19701	0.19926	0.2086	0.24495	0.07971	0.13465	0.82308
0.33622	0.41762	0.29676	0.80461	0.62177	0.41975	0.1025	0.10687	0.26393	0.18994	0.1701	0.1933	0.16041	0.10744	0.8519
0.37565	0.47962	0.28116	0.79123	0.58066	0.49825	0.12904	0.13015	0.19498	0.14588	0.20489	0.2362	0.12058	0.11015	0.82824
0.38966	0.48359	0.28365	0.75195	0.56986	0.44132	0.11981	0.1494	0.19977	0.1801	0.18692	0.21394	0.11274	0.11166	0.84181
0.26524	0.45612	0.30433	0.78263	0.56719	0.42654	0.13952	0.13869	0.2624	0.16821	0.20678	0.18478	0.09299	0.1176	0.8466
0.29711	0.43383	0.30488	0.786	0.49261	0.48174	0.12025	0.12651	0.26114	0.17083	0.15642	0.19867	0.11044	0.09161	0.84919
0.27632	0.46515	0.3076	0.75463	0.50242	0.41644	0.10898	0.11454	0.1694	0.22408	0.18298	0.17747	0.153	0.11526	0.82243
0.3365	0.43095	0.28318	0.79728	0.52856	0.53425	0.11976	0.12896	0.20378	0.17686	0.22237	0.24663	0.14573	0.1333	0.81538
0.22701	0.40134	0.26481	0.75664	0.55003	0.4727	0.11711	0.10046	0.21816	0.1785	0.18599	0.1894	0.11652	0.09788	0.80778
0.21055	0.46347	0.26797	0.78657	0.60058	0.48343	0.14462	0.1113	0.21627	0.20627	0.2105	0.17946	0.13321	0.09374	0.84571
