mass_ratio	chirp_mass	luminosity_distance	dec	ra	theta_jn	psi	phase	a_1	a_2	tilt_1	tilt_2	phi_12	phi_jl	geocent_time
0.24588	0.4337	0.31298	0.77538	0.5558	0.23288	0.12435	0.15782	0.16814	0.19817	0.19408	0.30257	0.11181	0.11606	0.8634
0.44654	0.44734	0.34085	0.70492	0.57542	0.63519	0.13553	0.16553	0.25095	0.15465	0.16878	0.2452	0.12663	0.09531	0.84741
0.28196	0.43624	0.29568	0.78533	0.51949	0.68125	0.14861	0.1283	0.15521	0.19107	0.20372	0.23902	0.15625	0.11529	0.85283
0.29493	0.42465	0.27456	0.88892	0.55265	0.29824	0.20223	0.12672	0.18427	0.2454	0.20642	0.29847	0.21485	0.11187	0.84066
0.3395	0.43985	0.31621	0.78571	0.50811	0.37237	0.15958	0.20511	0.17205	0.22523	0.18676	0.21934	0.12263	0.12913	0.80815
0.24239	0.3972	0.28703	0.75222	0.51143	0.34478	0.12098	0.20139	0.19847	0.21757	0.23445	0.199	0.12914	0.1219	0.8452
0.27033	0.37949	0.29405	0.76864	0.49791	0.50979	0.16433	0.12788	0.18226	0.22388	0.17001	0.16701	0.12012	0.1108	0.80002
0.29338	0.43931	0.26544	0.80551	0.56137	0.27536	0.13048	0.16572	0.22481	0.22117	0.18331	0.23314	0.12532	0.09021	0.7903
0.33353	0.44691	0.27068	0.75124	0.52381	0.45911	0.17315	0.18408	0.18924	0.19715	0.2453	0.18103	0.11568	0.11024	0.84208
0.27731	0.39564	0.27707	0.71048	0.51768	0.41463	0.14725	0.12581	0.19535	0.22074	0.18953	0.22561	0.13256	0.12547	0.85919
0.39293	0.41753	0.24726	0.79945	0.56265	0.30905	0.15771	0.13803	0.19603	0.18896	0.19765	0.16503	0.19656	0.10717	0.83884
0.34601	0.4868	0.29411	0.71433	0.52777	0.46548	0.24888	0.12442	0.20689	0.19169	0.26132	0.26773	0.15548	0.10962	0.78926
0.26862	0.42969	0.3188	0.8866	0.55827	0.64385	0.18506	0.19046	0.24332	0.21089	0.17396	0.23616	0.11847	0.09886	0.83825
0.44104	0.47669	0.28395	0.74292	0.55434	0.19546	0.18087	0.10965	0.18002	0.159	0.19144	0.45205	0.11659	0.1094	0.8458
0.40774	0.42124	0.27428	0.84571	0.55366	0.52937	0.14761	0.13958	0.2013	0.21629	0.20599	0.32286	0.19103	0.14405	0.8666
0.77497	0.49001	0.28987	0.72229	0.58476	0.29082	0.14844	0.11415	0.18179	0.17437	0.23661	0.1845	0.14742	0.12876	0.81832
0.54254	0.44442	0.25092	0.81131	0.54484	0.43489	0.14537	0.25133	0.23372	0.30599	0.13744	0.24342	0.09596	0.10092	0.84326
0.67063	0.42237	0.29886	0.79603	0.50067	0.5178	0.09927	0.15343	0.21732	0.16684	0.16146	0.28513	0.12785	0.10416	0.8239
0.28706	0.44182	0.28835	0.79166	0.54809	0.4824	0.18132	0.21225	0.18645	0.18519	0.19453	0.19541	0.11685	0.09043	0.79071
0.21042	0.42711	0.27336	0.77976	0.5209	0.48781	0.16214	0.13629	0.19852	0.1477	0.17122	0.2229	0.12091	0.09358	0.83057
0.2204	0.43563	0.26856	0.74322	0.58382	0.416	0.1806	0.12627	0.20099	0.18852	0.17734	0.17036	0.11752	0.11758	0.80839
0.2808	0.44387	0.26374	0.8174	0.54571	0.40613	0.15175	0.10811	0.18964	0.26603	0.15777	0.19892	0.07884	0.09151	0.86325
0.41767	0.41229	0.28865	0.80159	0.55838	0.44448	0.15134	0.21278	0.23555	0.16363	0.19658	0.22233	0.15208	0.0916	0.86808
0.25494	0.43382	0.27461	0.74911	0.52277	0.56801	0.13918	0.12192	0.18864	0.18769	0.24858	0.21781	0.11455	0.09611	0.80102
